ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	score
ILMN_2962336	0.942004	0.823	0.227547	-6.45194	0.00846979	1700001O22Rik	RIKEN cDNA 1700001O22 gene	0.000716545629717469
ILMN_2597451	0.968085	0.9	0.127419	-6.47043	0.00284541	1700001P01Rik	RIKEN cDNA 1700001P01 gene	0.000130198821216251
ILMN_2868440	0.356775	0.0944	1.786251	-4.97552	0.06771244	1700003F12Rik	RIKEN cDNA 1700003F12 gene	0.0694071473344117
ILMN_3003018	0.753742	0.432	-0.806997	-6.14682	-0.05175268	1700007G11Rik	RIKEN cDNA 1700007G11 gene	-0.0188646930058868
ILMN_2834950	0.967772	0.899	0.12856	-6.47027	0.00395823	1700007K09Rik	RIKEN cDNA 1700007K09 gene	0.000183029775390782
ILMN_1250734	0.516376	0.189	1.375529	-5.55179	0.03720062	1700010D01Rik	RIKEN cDNA 1700010D01 gene	0.0269160694784367
ILMN_2665591	0.784663	0.479	-0.726906	-6.20836	-0.02769483	1700010I14Rik	RIKEN cDNA 1700010I14 gene	-0.00885305361302095
ILMN_1240624	0.718361	0.385	0.895009	-6.07245	0.02336788	1700011H14Rik	RIKEN cDNA 1700011H14 gene	0.0096869039281329
ILMN_2678187	0.379421	0.106	-1.722477	-5.07173	-0.04385958	1700012A03Rik	RIKEN cDNA 1700012A03 gene	-0.0427496753779506
ILMN_1251239	0.996996	0.987	-0.016806	-6.47874	-0.00051737	1700012B09Rik	RIKEN cDNA 1700012B09 gene	-2.94013472331005E-06
ILMN_2804407	0.982595	0.942	-0.074206	-6.47601	-0.00325961	1700012L04Rik	RIKEN cDNA 1700012L04 gene	-8.45839367473091E-05
ILMN_2653832	0.576671	0.236	-1.233627	-5.72449	-0.04202731	1700013G24Rik	RIKEN cDNA 1700013G24 gene	-0.0263548216484544
ILMN_2634503	0.156945	0.0251	2.490405	-3.78819	0.06557991	1700015E13Rik	RIKEN cDNA 1700015E13 gene	0.104949253315908
ILMN_1222931	0.958703	0.872	-0.164537	-6.46479	-0.00475887	1700016C15Rik	RIKEN cDNA 1700016C15 gene	-0.000283074315348954
ILMN_2939583	0.438656	0.138	-1.565644	-5.29824	-0.04651874	1700016D06Rik	RIKEN cDNA 1700016D06 gene	-0.0400117411482633
ILMN_2939579	0.898304	0.704	0.387385	-6.40107	0.00981708	1700016D06Rik	RIKEN cDNA 1700016D06 gene	0.00149639139938915
ILMN_1250938	0.206811	0.0384	-2.271063	-4.17899	-0.18041279	1700016K19Rik	RIKEN cDNA 1700016K19 gene	-0.255404753527738
ILMN_2694110	0.34663	0.0902	-1.811598	-4.93666	-0.05541065	1700016K19Rik	RIKEN cDNA 1700016K19 gene	-0.0578926848705516
ILMN_2991601	0.805297	0.516	0.666099	-6.25108	0.02935638	1700017B05Rik	RIKEN cDNA 1700017B05 gene	0.00843556455214497
ILMN_1255361	0.574786	0.235	-1.23719	-5.72034	-0.04219238	1700017N19Rik	RIKEN cDNA 1700017N19 gene	-0.0265361437492432
ILMN_2649579	0.981841	0.938	-0.078598	-6.47567	-0.00264984	1700018C11Rik	RIKEN cDNA 1700018C11 gene	-7.36580307496199E-05
ILMN_2746218	0.672052	0.331	1.004257	-5.97064	0.02813044	1700018F24Rik	RIKEN cDNA 1700018F24 gene	0.0135074498107718
ILMN_2646640	0.061033	0.00613	3.189834	-2.46502	0.19837844	1700019D03Rik	RIKEN cDNA 1700019D03 gene	0.24091777678804
ILMN_2618910	0.93845	0.811	0.243087	-6.44815	0.00747249	1700019N19Rik	RIKEN cDNA 1700019N19 gene	0.000679840757115678
ILMN_2606555	0.6544	0.314	1.042678	-5.9324	0.045794	1700020D05Rik	RIKEN cDNA 1700020D05 gene	0.0230376036961352
ILMN_2895240	0.993182	0.974	0.032675	-6.47833	0.00103215	1700020L24Rik	RIKEN cDNA 1700020L24 gene	1.1808872657737E-05
ILMN_2761181	0.440773	0.14	1.560202	-5.30583	0.07445122	1700021F05Rik	RIKEN cDNA 1700021F05 gene	0.0635718094675516
ILMN_2788707	0.924324	0.772	0.294691	-6.43375	0.01409652	1700024G13Rik	RIKEN cDNA 1700024G13 gene	0.00158420497347129
ILMN_2654732	0.853044	0.603	-0.531824	-6.33288	-0.01396454	1700025F22Rik	RIKEN cDNA 1700025F22 gene	-0.00306776768192637
ILMN_2669982	0.80311	0.511	0.674178	-6.24561	0.06303655	1700025G04Rik	RIKEN cDNA 1700025G04 gene	0.0183801405076132
ILMN_2680815	0.871832	0.641	0.475273	-6.36205	0.014639	1700028K03Rik	RIKEN cDNA 1700028K03 gene	0.00282740530587403
ILMN_2725531	0.938274	0.81	-0.244178	-6.44787	-0.00996596	1700028K03Rik	RIKEN cDNA 1700028K03 gene	-0.000912034641256131
ILMN_2601035	0.990707	0.968	-0.040838	-6.47802	-0.00134879	1700028P14Rik	RIKEN cDNA 1700028P14 gene	-1.90511768160117E-05
ILMN_1218314	0.834324	0.566	0.586776	-6.30152	0.02238695	1700029F12Rik	RIKEN cDNA 1700029F12 gene	0.00553368619580973
ILMN_3116055	0.980019	0.932	0.08689	-6.47495	0.00282667	1700029F12Rik	RIKEN cDNA 1700029F12 gene	8.64511230263714E-05
ILMN_1241241	0.831102	0.559	0.597596	-6.29499	0.01775286	1700029H14Rik	RIKEN cDNA 1700029H14 gene	0.00448416281224543
ILMN_3090756	0.930192	0.788	-0.273278	-6.44006	-0.00812001	1700029H14Rik	RIKEN cDNA 1700029H14 gene	-0.000840208148722636
ILMN_2632536	0.767768	0.455	-0.766985	-6.1783	-0.02456793	1700029I15Rik	RIKEN cDNA 1700029I15 gene	-0.00840195206772583
ILMN_2723346	0.604357	0.264	1.161759	-5.80615	0.05214753	1700029J07Rik	RIKEN cDNA 1700029J07 gene	0.0301619265754377
ILMN_3121687	0.113481	0.0155	2.732912	-3.34016	0.19657707	1700029P11Rik	RIKEN cDNA 1700029P11 gene	0.185780437279199
ILMN_3046125	0.820475	0.539	-0.62876	-6.27558	-0.0198508	1700029P11Rik	RIKEN cDNA 1700029P11 gene	-0.00532817774003109
ILMN_1260016	0.994271	0.978	0.028285	-6.47847	0.00115744	1700029P11Rik	RIKEN cDNA 1700029P11 gene	1.11821959146386E-05
ILMN_1231468	0.0091	0.000333	-4.629467	0.34809	-0.21118031	1700030J22Rik	RIKEN cDNA 1700030J22 gene	-0.4310102714668
ILMN_2705655	0.69073	0.354	-0.956173	-6.01672	-0.03169256	1700030K09Rik	RIKEN cDNA 1700030K09 gene	-0.014293241178052
ILMN_2617673	0.604357	0.264	1.161697	-5.80622	0.03685567	1700034E13Rik	RIKEN cDNA 1700034E13 gene	0.0213171748005814
ILMN_2613803	0.537991	0.206	1.322141	-5.6185	0.04207826	1700034O15Rik	RIKEN cDNA 1700034O15 gene	0.0288712734958295
ILMN_2800500	0.11781	0.0162	2.708969	-3.38501	0.09313808	1700037C18Rik	RIKEN cDNA 1700037C18 gene	0.0865083106608234
ILMN_1213070	0.05825	0.00576	-3.220463	-2.40539	-0.24307768	1700037H04Rik	RIKEN cDNA 1700037H04 gene	-0.300129000895553
ILMN_2958222	0.611854	0.27	-1.144417	-5.82525	-0.03020962	1700039E15Rik	RIKEN cDNA 1700039E15 gene	-0.0171782846029874
ILMN_2687560	0.815331	0.532	0.640096	-6.26828	0.02329962	1700040L02Rik	RIKEN cDNA 1700040L02 gene	0.00638615481394565
ILMN_2903992	0.848921	0.596	-0.541363	-6.32765	-0.01889038	1700057G04Rik	RIKEN cDNA 1700057G04 gene	-0.00424568355992823
ILMN_2936769	0.745822	0.422	0.825147	-6.13205	0.02899921	1700061G19Rik	RIKEN cDNA 1700061G19 gene	0.0108656429189477
ILMN_2927643	0.59521	0.254	1.185747	-5.77934	0.04754372	1700067K01Rik	RIKEN cDNA 1700067K01 gene	0.0282964191304623
ILMN_2616500	0.942878	0.828	-0.221605	-6.45333	-0.00665132	1700067P10Rik	RIKEN cDNA 1700067P10 gene	-0.000545206460335991
ILMN_2890399	0.810517	0.524	0.652216	-6.26034	0.01713743	1700071K01Rik	RIKEN cDNA 1700071K01 gene	0.00480994042250647
ILMN_2695988	0.927713	0.781	0.283724	-6.43704	0.00918368	1700074P13Rik	RIKEN cDNA 1700074P13 gene	0.000985858553201714
ILMN_2864695	0.281763	0.0634	-2.005263	-4.62889	-0.06865242	1700080E11Rik	RIKEN cDNA 1700080E11 gene	-0.082239471390415
ILMN_1239196	0.62655	0.285	-1.10936	-5.86312	-0.11832935	1700088E04Rik	RIKEN cDNA 1700088E04 gene	-0.064507853364352
ILMN_2736976	0.936493	0.805	0.251709	-6.44593	0.01069603	1700093K21Rik	RIKEN cDNA 1700093K21 gene	0.00100761008970887
ILMN_2646254	0.938274	0.81	-0.244208	-6.44786	-0.0077188	1700102P08Rik	RIKEN cDNA 1700102P08 gene	-0.000706385836279478
ILMN_3005587	0.89237	0.69	0.406023	-6.39344	0.01695382	1700109H08Rik	RIKEN cDNA 1700109H08 gene	0.00273212350847691
ILMN_2760476	0.683362	0.345	0.976041	-5.99792	0.04070307	1700123K08Rik	RIKEN cDNA 1700123K08 gene	0.0188121817258959
ILMN_2648526	0.797765	0.502	0.688694	-6.23561	0.02956241	1700123K08Rik	RIKEN cDNA 1700123K08 gene	0.00884791942523491
ILMN_2999447	0.002765	0.0000353	5.80875	2.52275	0.38508067	1700123O20Rik	RIKEN cDNA 1700123O20 gene	0.985153751231732
ILMN_2597332	0.583532	0.244	1.214112	-5.74706	0.03417008	1700123O20Rik	RIKEN cDNA 1700123O20 gene	0.0209329386428195
ILMN_1219593	0.694853	0.359	0.94628	-6.02596	0.0351013	1700129C05Rik	RIKEN cDNA 1700129C05 gene	0.0156167632321178
ILMN_2872246	0.001383	0.00000665	6.757894	4.12818	0.17725365	1810009A15Rik	RIKEN cDNA 1810009A15 gene	0.506799704574667
ILMN_1221262	0.001977	0.0000188	6.158796	3.13078	0.43803368	1810009A15Rik	RIKEN cDNA 1810009A15 gene	1.18444014933599
ILMN_2631712	0.964176	0.886	0.146285	-6.46774	0.005026	1810009J06Rik	RIKEN cDNA 1810009J06 gene	0.000264198113795683
ILMN_2764607	0.954141	0.857	0.183384	-6.46138	0.00975889	1810009N02Rik	RIKEN cDNA 1810009N02 gene	0.000654032786741921
ILMN_1254307	0.384211	0.108	1.7088	-5.09206	0.07353265	1810011O10Rik	RIKEN cDNA 1810011O10 gene	0.0710749126860926
ILMN_2912439	0.254196	0.0536	-2.095442	-4.47954	-0.09433805	1810026J23Rik	RIKEN cDNA 1810026J23 gene	-0.119888115611724
ILMN_2646649	0.838028	0.574	0.575242	-6.30834	0.01825711	1810030O07Rik	RIKEN cDNA 1810030O07 gene	0.00440157210018203
ILMN_2706652	0.932689	0.795	-0.264671	-6.44246	-0.01650037	1810043G02Rik	RIKEN cDNA 1810043G02 gene	-0.00164397924133064
ILMN_2650275	0.443259	0.141	-1.553871	-5.31463	-0.11262629	1810055G02Rik	RIKEN cDNA 1810055G02 gene	-0.0958202949445325
ILMN_1241864	0.966265	0.894	-0.135001	-6.46939	-0.00584444	1810065E05Rik	RIKEN cDNA 1810065E05 gene	-0.000284404951648387
ILMN_1234774	0.872192	0.643	0.472626	-6.36334	0.01817728	2010005H15Rik	RIKEN cDNA 2010005H15 gene	0.003486202846084
ILMN_2612627	0.623178	0.281	1.117587	-5.85432	0.04526116	2010106E10Rik	RIKEN cDNA 2010106E10 gene	0.024952191461765
ILMN_1239677	0.000929	0.00000309	7.218898	4.85826	0.44030173	2010107E04Rik	RIKEN cDNA 2010107E04 gene	1.33498792646141
ILMN_2975295	0.974256	0.917	0.105769	-6.47306	0.00560305	2010107G12Rik	RIKEN cDNA 2010107G12 gene	0.000210846493774088
ILMN_2803564	0.685127	0.347	0.971635	-6.00212	0.03542082	2010107G23Rik	RIKEN cDNA 2010107G23 gene	0.0162819069327379
ILMN_2617977	0.651995	0.311	1.04832	-5.92668	0.03730393	2010109I03Rik	RIKEN cDNA 2010109I03 gene	0.0189220309409701
ILMN_2684115	0.97761	0.927	-0.092958	-6.47438	-0.00319738	2210010C04Rik	RIKEN cDNA 2210010C04 gene	-0.000105258599641068
ILMN_2622891	0.802915	0.51	-0.675299	-6.24484	-0.05008258	2210016L21Rik	RIKEN cDNA 2210016L21 gene	-0.014645640049961
ILMN_1247760	0.856378	0.609	-0.522891	-6.3377	-0.03770713	2210016L21Rik	RIKEN cDNA 2210016L21 gene	-0.00812146374644413
ILMN_1226767	0.796776	0.5	0.691946	-6.23335	0.02297437	2210407C18Rik	RIKEN cDNA 2210407C18 gene	0.0069159745014827
ILMN_1254911	0.863641	0.625	-0.498769	-6.35032	-0.01451301	2210409E12Rik	transcription elongation factor B (SIII), polypeptide 2 pseudogene	-0.00296239534948526
ILMN_2683656	0.60737	0.266	-1.154973	-5.81365	-0.03641413	2300002M23Rik	RIKEN cDNA 2300002M23 gene	-0.0209424348491036
ILMN_1214119	0.831993	0.561	0.594596	-6.29681	0.01729493	2310002L09Rik	RIKEN cDNA 2310002L09 gene	0.00434166974197498
ILMN_2767039	0.963252	0.883	-0.149533	-6.46724	-0.00572292	2310007B03Rik	RIKEN cDNA 2310007B03 gene	-0.000309262570281861
ILMN_1219918	0.022354	0.00135	3.929923	-1.01213	0.23005506	2310011J03Rik	RIKEN cDNA 2310011J03 gene	0.379739177783226
ILMN_3004931	0.94919	0.843	-0.201671	-6.45772	-0.00744771	2310022A10Rik	RIKEN cDNA 2310022A10 gene	-0.00055241471419156
ILMN_1257333	0.757488	0.439	-0.794516	-6.1568	-0.07492897	2310022B05Rik	RIKEN cDNA 2310022B05 gene	-0.0267897652367137
ILMN_2707595	0.853044	0.603	0.532066	-6.33275	0.01216723	2310030G06Rik	RIKEN cDNA 2310030G06 gene	0.00267292979020899
ILMN_1232120	0.630297	0.29	-1.097636	-5.87557	-0.05586432	2310033P09Rik	RIKEN cDNA 2310033P09 gene	-0.0300327702780134
ILMN_2751887	0.9855	0.951	-0.062941	-6.47682	-0.00209873	2310033P09Rik	RIKEN cDNA 2310033P09 gene	-4.57932036879413E-05
ILMN_1228500	0.325278	0.0811	1.871266	-4.84384	0.06148259	2310034C09Rik	RIKEN cDNA 2310034C09 gene	0.0670762235190857
ILMN_2642411	0.077402	0.00868	-3.018861	-2.79606	-0.10773555	2310035C23Rik	RIKEN cDNA 2310035C23 gene	-0.119720894791999
ILMN_2950683	0.813045	0.528	-0.646455	-6.26413	-0.02152944	2310035C23Rik	RIKEN cDNA 2310035C23 gene	-0.00597153632284364
ILMN_2747839	0.981869	0.939	0.078263	-6.47569	0.00247364	2310035C23Rik	RIKEN cDNA 2310035C23 gene	6.76154843468574E-05
ILMN_1229716	0.949381	0.843	-0.200895	-6.45788	-0.00979697	2310036O22Rik	RIKEN cDNA 2310036O22 gene	-0.000726665026228638
ILMN_2619836	0.046116	0.00408	3.389222	-2.07549	0.3253586	2310039H08Rik	RIKEN cDNA 2310039H08 gene	0.434727362888907
ILMN_1220128	0.226194	0.0446	-2.192322	-4.31524	-0.04786925	2310057J18Rik	RIKEN cDNA 2310057J18 gene	-0.0646553273145938
ILMN_2940678	0.933763	0.798	-0.260883	-6.44349	-0.00780812	2310057J18Rik	RIKEN cDNA 2310057J18 gene	-0.000765173183986542
ILMN_2617592	0.999337	0.998	-0.002501	-6.47888	-0.00007226	2310057M21Rik	RIKEN cDNA 2310057M21 gene	-6.28270865745637E-08
ILMN_1215300	0.891234	0.687	0.411501	-6.39113	0.01515426	2310057N15Rik	RIKEN cDNA 2310057N15 gene	0.00247079999784794
ILMN_2965641	0.069399	0.00741	-3.096947	-2.64529	-0.20919989	2410002F23Rik	RIKEN cDNA 2410002F23 gene	-0.242388780480421
ILMN_2753524	0.349421	0.0915	-1.803581	-4.94899	-0.04310812	2410002F23Rik	RIKEN cDNA 2410002F23 gene	-0.0447711841064523
ILMN_2629648	0.380699	0.106	-1.719124	-5.07672	-0.14807346	2410002F23Rik	RIKEN cDNA 2410002F23 gene	-0.144326332971952
ILMN_2639035	0.937192	0.806	0.249451	-6.44652	0.00662879	2410004B18Rik	RIKEN cDNA 2410004B18 gene	0.000620885338232833
ILMN_1230931	0.017518	0.000926	4.116817	-0.64559	0.41358711	2410015M20Rik	RIKEN cDNA 2410015M20 gene	0.726472160213618
ILMN_2972325	0.018923	0.00105	-4.054491	-0.76765	-0.22494761	2410016O06Rik	RIKEN cDNA 2410016O06 gene	-0.387586983897691
ILMN_2739645	0.834974	0.567	0.585479	-6.30229	0.01437942	2410137M14Rik	RIKEN cDNA 2410137M14 gene	0.00354333269129416
ILMN_3052390	0.065118	0.0068	-3.139216	-2.56337	-0.13718186	2510009E07Rik	RIKEN cDNA 2510009E07 gene	-0.162738696011493
ILMN_3128859	0.645472	0.304	-1.064116	-5.91053	-0.04232092	2510009E07Rik	RIKEN cDNA 2510009E07 gene	-0.0218852656979806
ILMN_2719924	0.797617	0.501	-0.689202	-6.23526	-0.0247889	2510039O18Rik	RIKEN cDNA 2510039O18 gene	-0.00744069259724943
ILMN_2630362	0.317857	0.078	1.892868	-4.80979	0.07641056	2610002M06Rik	RIKEN cDNA 2610002M06 gene	0.0846556718354429
ILMN_3065642	0.794487	0.496	0.698111	-6.22902	0.02258306	2610020H08Rik	RIKEN cDNA 2610020H08 gene	0.00687695557092128
ILMN_3143621	0.915759	0.748	0.326882	-6.42339	0.01361753	2610020H08Rik	RIKEN cDNA 2610020H08 gene	0.00171714877403276
ILMN_3005431	0.997476	0.988	0.015272	-6.47876	0.00041257	2610028H24Rik	RIKEN cDNA 2610028H24 gene	2.16312737148227E-06
ILMN_2814258	0.631206	0.291	1.095904	-5.8774	0.03532105	2610042L04Rik	RIKEN cDNA 2610042L04 gene	0.0189358625413793
ILMN_1260441	0.969737	0.904	0.122119	-6.47112	0.00530637	2610044O15Rik8	RIKEN cDNA 2610044O15 gene	0.000232586525578446
ILMN_2731228	0.322171	0.0797	1.880326	-4.82959	0.06110211	2610301B20Rik	RIKEN cDNA 2610301B20 gene	0.0671232144856394
ILMN_1216407	0.998568	0.992	0.009894	-6.47883	0.00037324	2610318N02Rik	RIKEN cDNA 2610318N02 gene	1.30198348517436E-06
ILMN_3086201	0.776168	0.467	-0.746729	-6.19368	-0.02940579	2610507B11Rik	RIKEN cDNA 2610507B11 gene	-0.00972399836661783
ILMN_3014965	0.797917	0.502	0.688487	-6.23576	0.03890196	2610507B11Rik	RIKEN cDNA 2610507B11 gene	0.0116432120237731
ILMN_1225123	0.218721	0.0421	2.222963	-4.2625	0.32349286	2610524H06Rik	RIKEN cDNA 2610524H06 gene	0.445034919371326
ILMN_1221084	0.902493	0.716	-0.371363	-6.40734	-0.01352224	2610528J11Rik	RIKEN cDNA 2610528J11 gene	-0.00196190093322782
ILMN_1225213	0.209214	0.0391	2.261586	-4.19551	0.13920849	2700060E02Rik	RIKEN cDNA 2700060E02 gene	0.195980947789825
ILMN_2847285	0.528201	0.198	1.346683	-5.58809	0.04699356	2700062C07Rik	RIKEN cDNA 2700062C07 gene	0.0330522065815333
ILMN_2659861	0.659194	0.318	-1.032507	-5.94264	-0.03524804	2700062C07Rik	RIKEN cDNA 2700062C07 gene	-0.0175384687777039
ILMN_1245380	0.8722	0.644	-0.472014	-6.36364	-0.02224799	2700062C07Rik	RIKEN cDNA 2700062C07 gene	-0.00425190531183757
ILMN_1214482	0.52679	0.197	-1.350625	-5.58316	-0.03446817	2700081O15Rik	RIKEN cDNA 2700081O15 gene	-0.0243184580574038
ILMN_3088934	0.245552	0.0508	2.124244	-4.43109	0.2062069	2700094K13Rik	RIKEN cDNA 2700094K13 gene	0.266859832067441
ILMN_1252210	0.005607	0.000146	5.053436	1.15051	0.29702858	2700097O09Rik	RIKEN cDNA 2700097O09 gene	0.668691366119454
ILMN_2994063	0.303914	0.0726	1.932014	-4.74748	0.09832268	2810004N23Rik	RIKEN cDNA 2810004N23 gene	0.111995764142623
ILMN_2703302	0.971222	0.908	0.117213	-6.47173	0.00329205	2810004N23Rik	RIKEN cDNA 2810004N23 gene	0.000137983482376162
ILMN_2941081	0.541518	0.209	-1.313727	-5.62882	-0.0511383	2810006K23Rik	RIKEN cDNA 2810006K23 gene	-0.0347665631769671
ILMN_2674668	0.863039	0.623	-0.501914	-6.3487	-0.01815264	2810021J22Rik	RIKEN cDNA 2810021J22 gene	-0.00373058450469289
ILMN_1249385	0.925044	0.774	0.292104	-6.43454	0.00902455	2810021J22Rik	RIKEN cDNA 2810021J22 gene	0.0010040627632692
ILMN_2637042	0.944937	0.833	0.214953	-6.45484	0.00554221	2810021J22Rik	RIKEN cDNA 2810021J22 gene	0.000439802066753288
ILMN_1227212	0.397635	0.115	-1.673879	-5.14349	-0.09646841	2810403A07Rik	RIKEN cDNA 2810403A07 gene	-0.0906129858506533
ILMN_2641063	0.704679	0.371	-0.92263	-6.04769	-0.02789382	2810408A11Rik	RIKEN cDNA 2810408A11 gene	-0.0120118066525016
ILMN_1223045	0.67067	0.33	1.00746	-5.9675	0.03755651	2810417H13Rik	RIKEN cDNA 2810417H13 gene	0.0180829360318367
ILMN_2636325	0.005894	0.00016	-5.004775	1.05949	-0.30134538	2900011O08Rik	RIKEN cDNA 2900011O08 gene	-0.671876606163092
ILMN_1217298	0.031643	0.00231	-3.666211	-1.53102	-0.31904908	2900011O08Rik	RIKEN cDNA 2900011O08 gene	-0.478485035628006
ILMN_2624047	0.893504	0.693	0.402944	-6.39473	0.01123568	2900011O08Rik	RIKEN cDNA 2900011O08 gene	0.00178947041053682
ILMN_1251935	0.592691	0.252	1.191739	-5.77257	0.04617709	2900026A02Rik	RIKEN cDNA 2900026A02 gene	0.027641581102282
ILMN_3004538	0.238853	0.0486	2.147812	-4.3912	0.05958521	2900092C05Rik	RIKEN cDNA 2900092C05 gene	0.0782570537023897
ILMN_1247302	0.48412	0.166	-1.455324	-5.44833	-0.12739448	3010026O09Rik	RIKEN cDNA 3010026O09 gene	-0.099353924580343
